name,latitude,longitude,datetime,windgust,windspeed,winddir,stations
calgary,51.045,-114.063,2022-01-04T15:00:00,35.6,16.2,352,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-04T16:00:00,37.1,11.5,356,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-04T17:00:00,,10,359,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999,E7122"
calgary,51.045,-114.063,2022-01-04T18:00:00,,6.9,355,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-04T19:00:00,,8.2,357,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-04T20:00:00,,4.4,62,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-04T21:00:00,,8.1,60,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-04T22:00:00,,4.9,359,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-04T23:00:00,,5.5,7,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-05T00:00:00,,6.7,18,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-05T01:00:00,,8.1,15,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-05T02:00:00,,7.8,23,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-05T03:00:00,,9.2,9,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-05T04:00:00,,9.3,359,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-05T05:00:00,,10.2,346,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-05T06:00:00,,10,335,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-05T07:00:00,,9.6,333,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-05T08:00:00,,8.9,359,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-05T09:00:00,,6.9,344,"71877099999,CPST,71495099999,71526099999,71235099999,E7122,CYYC"
calgary,51.045,-114.063,2022-01-05T10:00:00,,8.3,2,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-05T11:00:00,,7.1,1,"71877099999,CPST,71495099999,71526099999,C8540,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-05T12:00:00,,4.8,5,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-05T13:00:00,,4.3,40,"71877099999,C8540,71235099999,CWDU,71860099999"
calgary,51.045,-114.063,2022-01-05T14:00:00,,5.4,53,"71877099999,CPST,71495099999,71526099999,C8540,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-05T15:00:00,,6.6,78,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-05T16:00:00,,10.4,99,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-05T17:00:00,,8.9,141,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999,E7122"
calgary,51.045,-114.063,2022-01-05T18:00:00,,9.1,142,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-05T19:00:00,,9.1,146,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-05T20:00:00,,9.6,154,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-05T21:00:00,,9.5,162,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-05T22:00:00,,8.6,155,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-05T23:00:00,,8.7,161,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-06T00:00:00,,10.9,163,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-06T01:00:00,,10.8,170,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-06T02:00:00,,8.7,161,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-06T03:00:00,,11,177,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-06T04:00:00,,13.8,175,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-06T05:00:00,,12.9,179,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-06T06:00:00,,11.1,185,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-06T07:00:00,,15.5,171,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-06T08:00:00,,17.5,178,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-06T09:00:00,,12.7,152,"71877099999,E7122,71860099999"
calgary,51.045,-114.063,2022-01-06T10:00:00,,14.1,159,"71877099999,C8540,71860099999"
calgary,51.045,-114.063,2022-01-06T11:00:00,,10.9,159,"71877099999,C8540,71860099999"
calgary,51.045,-114.063,2022-01-06T12:00:00,,14.8,159,"71877099999,C8540,71860099999"
calgary,51.045,-114.063,2022-01-06T13:00:00,,15.9,159,"71877099999,C8540,71860099999"
calgary,51.045,-114.063,2022-01-06T14:00:00,,14.3,176,"71877099999,C8540,71860099999"
calgary,51.045,-114.063,2022-01-06T15:00:00,,15.9,174,"71877099999,C8540,71860099999"
calgary,51.045,-114.063,2022-01-06T16:00:00,,15.7,166,"71877099999,C8540,71860099999"
calgary,51.045,-114.063,2022-01-06T17:00:00,,13.9,178,"71877099999,E7122,71860099999"
calgary,51.045,-114.063,2022-01-06T18:00:00,,14.1,168,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-06T19:00:00,,14.1,184,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-06T20:00:00,,15.5,170,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-06T21:00:00,,12.3,179,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-06T22:00:00,,12,170,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-06T23:00:00,,12.5,165,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-07T00:00:00,,11.8,160,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-07T01:00:00,,6.6,160,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-07T02:00:00,,9.4,134,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-07T03:00:00,,9.1,135,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-07T04:00:00,,8.2,80,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-07T05:00:00,,3.8,330,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-07T06:00:00,,10.2,60,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-07T07:00:00,,10.5,4,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-07T08:00:00,,16.1,2,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-07T09:00:00,,21.8,359,"71877099999,E7122,71860099999"
calgary,51.045,-114.063,2022-01-07T10:00:00,,20.3,359,"71877099999,C8540,71860099999"
calgary,51.045,-114.063,2022-01-07T11:00:00,,19.6,350,"71877099999,C8540,71860099999"
calgary,51.045,-114.063,2022-01-07T12:00:00,,22.8,350,"71877099999,C8540,71860099999"
calgary,51.045,-114.063,2022-01-07T13:00:00,,21,5,"71877099999,C8540,71860099999"
calgary,51.045,-114.063,2022-01-07T14:00:00,,17.3,18,"71877099999,C8540,71860099999"
calgary,51.045,-114.063,2022-01-07T15:00:00,,23.2,360,"71877099999,C8540,71860099999"
calgary,51.045,-114.063,2022-01-07T16:00:00,,20.5,1,"71877099999,C8540,71860099999"
calgary,51.045,-114.063,2022-01-07T17:00:00,,19.8,1,"71877099999,C8540,71860099999"
calgary,51.045,-114.063,2022-01-07T18:00:00,,17.9,359,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-07T19:00:00,,22.1,360,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-07T20:00:00,,24.6,344,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-07T21:00:00,,19.4,340,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-07T22:00:00,,11.8,350,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-07T23:00:00,,14.3,339,"71877099999,71860099999"
calgary,51.045,-114.063,2022-01-08T00:00:00,,18.4,340,71860099999
calgary,51.045,-114.063,2022-01-08T01:00:00,,11.9,347,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-08T02:00:00,,14.5,338,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-08T03:00:00,,9.8,328,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-08T04:00:00,,15,320,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-08T05:00:00,,11.8,316,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-08T06:00:00,,14.1,314,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-08T07:00:00,,14.2,327,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-08T08:00:00,,6.7,318,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-08T09:00:00,,6.2,297,"71877099999,CPST,71495099999,71526099999,71235099999,E7122,CYYC"
calgary,51.045,-114.063,2022-01-08T10:00:00,,7.5,241,"71009099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-08T11:00:00,,8.6,255,"71877099999,CPST,71495099999,71526099999,C8540,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-08T12:00:00,,11.5,215,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-08T13:00:00,,8.5,172,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-08T14:00:00,,14.2,182,"71877099999,CPST,71495099999,71526099999,C8540,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-08T15:00:00,,18.5,177,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-08T16:00:00,,16.6,190,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-08T17:00:00,,15.6,199,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999,E7122"
calgary,51.045,-114.063,2022-01-08T18:00:00,38.9,15.5,196,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-08T19:00:00,33.5,14.8,196,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-08T20:00:00,,8.7,208,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-08T21:00:00,,7.5,182,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-08T22:00:00,,9.1,184,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-08T23:00:00,,4.9,181,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-09T00:00:00,,10.4,198,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-09T01:00:00,,2.8,307,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-09T02:00:00,,2.3,24,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-09T03:00:00,,10.7,92,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-09T04:00:00,31.3,12.4,9,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-09T05:00:00,,12.3,347,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-09T06:00:00,,13.4,335,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-09T07:00:00,,9.1,27,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-09T08:00:00,,5.1,30,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-09T09:00:00,,5.9,128,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-09T10:00:00,,12.3,190,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-09T11:00:00,,13.4,178,"71877099999,CPST,71495099999,71526099999,C8540,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-09T12:00:00,,11.1,194,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-09T13:00:00,33.5,5.8,158,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-09T14:00:00,,7,183,"71877099999,CPST,71495099999,71526099999,C8540,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-09T15:00:00,,4.1,107,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-09T16:00:00,,3.3,164,"71877099999,CPST,71495099999,71526099999,C8540,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-09T17:00:00,,8.9,192,"71877099999,CPST,71495099999,71526099999,C8540,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-09T18:00:00,,8.3,198,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-09T19:00:00,33.5,5.4,328,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-09T20:00:00,,8.4,211,"71877099999,71393099999"
calgary,51.045,-114.063,2022-01-09T21:00:00,40,18,262,"71877099999,71495099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-09T22:00:00,48.7,14.8,222,"71877099999,71495099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-09T23:00:00,,7.7,209,"71877099999,71393099999"
calgary,51.045,-114.063,2022-01-10T00:00:00,37.1,10.9,208,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-10T01:00:00,35.3,8.1,180,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-10T02:00:00,,3.5,352,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-10T03:00:00,31.3,6.3,322,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-10T04:00:00,31.8,6.9,231,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
calgary,51.045,-114.063,2022-01-10T05:00:00,24.5,8.8,276,"71877099999,CPST,71495099999,71526099999,71393099999,71235099999"
calgary,51.045,-114.063,2022-01-10T06:00:00,38.9,10.9,234,"71877099999,CPST,71495099999,71526099999,71235099999,CYYC"
